"Id2","Geography","Total..Estimate..Households","Households.receiving.food.stamps..Estimate..Households","Total..Estimate..With.children.under.18.years","Households.receiving.food.stamps..Estimate..With.children.under.18.years","Total..Estimate..POVERTY.STATUS.IN.THE.PAST.12.MONTHS...Below.poverty.level","Households.receiving.food.stamps..Estimate..POVERTY.STATUS.IN.THE.PAST.12.MONTHS...Below.poverty.level","Total..Estimate..Hispanic.or.Latino.origin..of.any.race.","Households.receiving.food.stamps..Estimate..Hispanic.or.Latino.origin..of.any.race."
37183053524,"Census Tract 535.24, Wake County, North Carolina",1573,78,"25.6","67.9","5.2","39.7","5.5","0.0"
37183053525,"Census Tract 535.25, Wake County, North Carolina",885,22,"46.6","100.0","0.0","0.0","6.2","22.7"
37183053601,"Census Tract 536.01, Wake County, North Carolina",2495,38,"44.6","100.0","5.8","28.9","6.4","71.1"
37183053602,"Census Tract 536.02, Wake County, North Carolina",1683,72,"55.9","87.5","1.1","0.0","3.9","0.0"
37183053603,"Census Tract 536.03, Wake County, North Carolina",1489,4,"39.7","100.0","2.1","100.0","0.5","0.0"
37183053604,"Census Tract 536.04, Wake County, North Carolina",1297,0,"45.7","-","0.6","-","2.8","-"
37183053605,"Census Tract 536.05, Wake County, North Carolina",646,0,"40.9","-","0.8","-","3.1","-"
37183053606,"Census Tract 536.06, Wake County, North Carolina",1142,132,"37.7","84.1","3.9","12.1","1.7","0.0"
37183053607,"Census Tract 536.07, Wake County, North Carolina",2849,44,"42.6","100.0","2.1","56.8","3.7","0.0"
37183053608,"Census Tract 536.08, Wake County, North Carolina",1131,10,"45.3","0.0","5.3","100.0","2.5","0.0"
37183053609,"Census Tract 536.09, Wake County, North Carolina",335,16,"22.4","100.0","1.8","0.0","2.7","0.0"
37183053610,"Census Tract 536.10, Wake County, North Carolina",4451,91,"23.1","11.0","3.4","33.0","2.1","8.8"
37183053707,"Census Tract 537.07, Wake County, North Carolina",3097,288,"22.6","85.8","6.7","34.0","3.9","18.8"
37183053709,"Census Tract 537.09, Wake County, North Carolina",3445,124,"23.9","58.9","7.8","24.2","5.8","12.1"
37183053711,"Census Tract 537.11, Wake County, North Carolina",2128,8,"35.4","0.0","5.7","100.0","0.7","0.0"
37183053712,"Census Tract 537.12, Wake County, North Carolina",1150,10,"27.7","0.0","1.5","0.0","2.1","0.0"
37183053713,"Census Tract 537.13, Wake County, North Carolina",1834,111,"24.4","79.3","4.5","36.0","5.2","0.0"
37183053714,"Census Tract 537.14, Wake County, North Carolina",2095,140,"25.8","39.3","7.4","66.4","1.4","0.0"
37183053715,"Census Tract 537.15, Wake County, North Carolina",1357,26,"30.0","0.0","6.8","69.2","5.0","38.5"
37183053716,"Census Tract 537.16, Wake County, North Carolina",1809,155,"20.0","32.3","3.4","32.9","1.9","0.0"
37183053717,"Census Tract 537.17, Wake County, North Carolina",1273,28,"28.0","0.0","2.0","28.6","4.0","0.0"
37183053718,"Census Tract 537.18, Wake County, North Carolina",1121,13,"48.7","100.0","2.3","0.0","4.7","0.0"
37183053719,"Census Tract 537.19, Wake County, North Carolina",1286,0,"56.1","-","5.8","-","2.3","-"
37183053720,"Census Tract 537.20, Wake County, North Carolina",1440,5,"47.9","100.0","0.8","0.0","4.4","0.0"
37183053721,"Census Tract 537.21, Wake County, North Carolina",1156,13,"36.4","0.0","2.3","53.8","0.0","0.0"
37183053722,"Census Tract 537.22, Wake County, North Carolina",2315,75,"19.1","16.0","6.3","34.7","0.3","0.0"
37183053723,"Census Tract 537.23, Wake County, North Carolina",1441,76,"20.5","100.0","5.8","76.3","6.2","0.0"
37183053724,"Census Tract 537.24, Wake County, North Carolina",2589,15,"39.0","100.0","1.7","0.0","8.1","0.0"
37183053725,"Census Tract 537.25, Wake County, North Carolina",2370,162,"32.5","91.4","6.2","59.3","2.4","0.0"
37183053726,"Census Tract 537.26, Wake County, North Carolina",1395,158,"35.6","86.7","8.2","39.2","16.8","39.2"
37183053803,"Census Tract 538.03, Wake County, North Carolina",1211,10,"53.3","100.0","0.8","100.0","1.3","0.0"
37183053804,"Census Tract 538.04, Wake County, North Carolina",1236,31,"40.9","64.5","1.5","0.0","3.3","0.0"
37183053805,"Census Tract 538.05, Wake County, North Carolina",741,0,"45.2","-","10.4","-","0.8","-"
37183053806,"Census Tract 538.06, Wake County, North Carolina",1287,28,"42.1","0.0","1.7","0.0","1.2","0.0"
37183053807,"Census Tract 538.07, Wake County, North Carolina",1481,16,"41.1","0.0","1.1","100.0","0.5","0.0"
37183053808,"Census Tract 538.08, Wake County, North Carolina",1858,11,"41.9","100.0","1.2","0.0","4.2","0.0"
37183053900,"Census Tract 539, Wake County, North Carolina",2485,100,"50.8","62.0","8.2","29.0","2.4","0.0"
37183054001,"Census Tract 540.01, Wake County, North Carolina",2655,225,"31.2","72.0","8.5","42.7","10.5","42.2"
37183054004,"Census Tract 540.04, Wake County, North Carolina",2296,348,"32.6","82.5","12.7","42.5","14.0","46.8"
37183054006,"Census Tract 540.06, Wake County, North Carolina",1217,187,"40.2","78.1","11.3","49.7","6.2","9.6"
37183054007,"Census Tract 540.07, Wake County, North Carolina",1789,111,"24.7","43.2","6.0","30.6","6.0","0.0"
37183054008,"Census Tract 540.08, Wake County, North Carolina",2629,482,"48.1","94.0","27.4","69.9","19.9","17.2"
37183054011,"Census Tract 540.11, Wake County, North Carolina",1056,11,"36.6","100.0","5.8","0.0","5.1","0.0"
37183054012,"Census Tract 540.12, Wake County, North Carolina",1494,13,"30.1","100.0","1.5","0.0","1.5","0.0"
37183054013,"Census Tract 540.13, Wake County, North Carolina",4841,99,"43.9","85.9","5.3","14.1","2.5","0.0"
37183054014,"Census Tract 540.14, Wake County, North Carolina",4350,399,"49.3","90.2","12.8","62.7","16.9","3.0"
37183054015,"Census Tract 540.15, Wake County, North Carolina",759,30,"40.2","73.3","6.3","73.3","9.2","0.0"
37183054016,"Census Tract 540.16, Wake County, North Carolina",2374,18,"34.0","0.0","2.4","100.0","2.9","0.0"
37183054017,"Census Tract 540.17, Wake County, North Carolina",1119,51,"26.1","80.4","11.0","80.4","6.3","60.8"
37183054018,"Census Tract 540.18, Wake County, North Carolina",1489,283,"37.6","57.2","19.5","31.8","13.8","32.2"
37183054104,"Census Tract 541.04, Wake County, North Carolina",3489,260,"52.2","80.4","4.8","6.2","13.8","14.6"
37183054105,"Census Tract 541.05, Wake County, North Carolina",4832,147,"35.7","41.5","6.1","54.4","4.5","0.0"
37183054106,"Census Tract 541.06, Wake County, North Carolina",2700,134,"46.5","66.4","13.4","29.1","12.9","32.1"
37183054108,"Census Tract 541.08, Wake County, North Carolina",2353,299,"49.9","75.3","7.9","43.5","14.2","24.7"
37183054109,"Census Tract 541.09, Wake County, North Carolina",1175,106,"39.4","64.2","10.4","50.9","4.9","9.4"
37183054110,"Census Tract 541.10, Wake County, North Carolina",2977,112,"52.9","76.8","8.8","33.9","4.5","0.0"
37183054111,"Census Tract 541.11, Wake County, North Carolina",734,42,"41.4","11.9","6.9","14.3","0.7","0.0"
37183054112,"Census Tract 541.12, Wake County, North Carolina",1117,11,"42.9","100.0","7.6","0.0","13.2","0.0"
37183054113,"Census Tract 541.13, Wake County, North Carolina",953,50,"31.0","26.0","1.9","6.0","13.9","0.0"
37183054114,"Census Tract 541.14, Wake County, North Carolina",1618,102,"38.5","76.5","8.0","41.2","10.8","36.3"
37183054115,"Census Tract 541.15, Wake County, North Carolina",2889,151,"42.6","68.2","6.8","68.2","7.7","0.0"
37183054203,"Census Tract 542.03, Wake County, North Carolina",1165,22,"47.0","100.0","0.0","0.0","4.5","100.0"
37183054204,"Census Tract 542.04, Wake County, North Carolina",1623,254,"40.5","46.9","16.6","55.5","1.7","6.3"
37183054205,"Census Tract 542.05, Wake County, North Carolina",1708,292,"36.1","82.5","19.4","55.1","3.6","0.0"
37183054206,"Census Tract 542.06, Wake County, North Carolina",1992,79,"37.4","87.3","6.8","70.9","1.1","0.0"
37183054207,"Census Tract 542.07, Wake County, North Carolina",3160,22,"47.7","100.0","6.8","50.0","6.1","0.0"
37183054208,"Census Tract 542.08, Wake County, North Carolina",2389,184,"44.5","54.9","4.9","48.4","4.6","27.2"
37183054209,"Census Tract 542.09, Wake County, North Carolina",3126,42,"52.0","100.0","1.9","52.4","2.8","0.0"
37183054210,"Census Tract 542.10, Wake County, North Carolina",3129,270,"39.5","54.1","7.9","50.7","2.6","0.0"
37183054211,"Census Tract 542.11, Wake County, North Carolina",3063,227,"52.5","66.5","6.7","59.0","7.5","19.8"
37183054301,"Census Tract 543.01, Wake County, North Carolina",2107,235,"32.5","38.7","8.6","44.3","4.9","0.0"
37183054302,"Census Tract 543.02, Wake County, North Carolina",2379,352,"30.3","57.7","11.8","37.8","11.9","29.0"
37183054402,"Census Tract 544.02, Wake County, North Carolina",2341,261,"39.7","53.6","9.4","51.7","6.5","8.4"
37183054403,"Census Tract 544.03, Wake County, North Carolina",1338,132,"32.7","67.4","12.0","47.7","15.8","34.8"
37183054404,"Census Tract 544.04, Wake County, North Carolina",2343,320,"36.6","52.2","11.8","66.9","10.0","20.9"
37183054500,"Census Tract 545, Wake County, North Carolina",2994,501,"28.2","57.5","23.7","66.5","15.1","25.9"
37183980100,"Census Tract 9801, Wake County, North Carolina",0,0,"-","-","-","-","-","-"
37183980200,"Census Tract 9802, Wake County, North Carolina",47,0,"0.0","-","0.0","-","0.0","-"
