"Id2","Geography","Total..Estimate..Households","Households.receiving.food.stamps..Estimate..Households","Total..Estimate..With.children.under.18.years","Households.receiving.food.stamps..Estimate..With.children.under.18.years","Total..Estimate..POVERTY.STATUS.IN.THE.PAST.12.MONTHS...Below.poverty.level","Households.receiving.food.stamps..Estimate..POVERTY.STATUS.IN.THE.PAST.12.MONTHS...Below.poverty.level","Total..Estimate..Hispanic.or.Latino.origin..of.any.race.","Households.receiving.food.stamps..Estimate..Hispanic.or.Latino.origin..of.any.race."
37063002024,"Census Tract 20.24, Durham County, North Carolina",2794,82,"23.8","29.3","4.2","50.0","3.7","0.0"
37063002025,"Census Tract 20.25, Durham County, North Carolina",2542,98,"32.7","73.5","4.7","44.9","7.3","0.0"
37063002026,"Census Tract 20.26, Durham County, North Carolina",2475,391,"32.5","81.3","17.7","16.6","5.6","0.0"
37063002027,"Census Tract 20.27, Durham County, North Carolina",3484,244,"27.5","79.5","16.0","32.4","9.0","59.0"
37063002028,"Census Tract 20.28, Durham County, North Carolina",3058,80,"23.6","71.3","5.6","26.3","6.6","10.0"
37063002100,"Census Tract 21, Durham County, North Carolina",2372,30,"31.5","76.7","2.7","23.3","0.8","0.0"
37063002200,"Census Tract 22, Durham County, North Carolina",855,72,"17.2","81.9","18.2","75.0","3.4","0.0"
37063002300,"Census Tract 23, Durham County, North Carolina",360,150,"38.3","59.3","50.0","74.0","18.1","19.3"
37063980100,"Census Tract 9801, Durham County, North Carolina",32,0,"75.0","-","0.0","-","0.0","-"
37101040100,"Census Tract 401, Johnston County, North Carolina",2569,538,"29.7","44.8","22.6","75.5","3.2","1.7"
37101040201,"Census Tract 402.01, Johnston County, North Carolina",2263,316,"36.4","59.2","17.7","63.3","9.0","22.5"
37101040202,"Census Tract 402.02, Johnston County, North Carolina",2293,297,"39.4","89.2","11.1","33.3","8.8","24.2"
37101040203,"Census Tract 402.03, Johnston County, North Carolina",4741,234,"56.8","79.1","4.2","17.9","5.9","33.8"
37101040301,"Census Tract 403.01, Johnston County, North Carolina",1529,588,"31.7","50.5","36.3","67.5","21.1","27.0"
37101040302,"Census Tract 403.02, Johnston County, North Carolina",1971,488,"30.2","44.5","32.4","60.0","23.3","38.9"
37101040400,"Census Tract 404, Johnston County, North Carolina",1741,275,"41.6","59.6","20.8","65.5","14.2","23.3"
37101040500,"Census Tract 405, Johnston County, North Carolina",2318,555,"42.4","64.9","17.7","49.4","5.5","8.5"
37101040600,"Census Tract 406, Johnston County, North Carolina",1127,270,"36.0","54.4","21.9","43.3","11.3","15.6"
37101040700,"Census Tract 407, Johnston County, North Carolina",1304,300,"25.2","30.0","23.2","55.7","5.2","0.0"
37101040800,"Census Tract 408, Johnston County, North Carolina",1336,341,"29.5","44.0","20.5","64.2","6.0","5.3"
37101040901,"Census Tract 409.01, Johnston County, North Carolina",3403,442,"46.2","76.2","14.5","59.0","11.8","5.7"
37101040902,"Census Tract 409.02, Johnston County, North Carolina",2428,445,"43.4","87.0","15.3","58.4","8.6","27.6"
37101041001,"Census Tract 410.01, Johnston County, North Carolina",2728,393,"42.4","57.5","19.9","42.5","12.0","8.1"
37101041002,"Census Tract 410.02, Johnston County, North Carolina",3091,103,"35.2","78.6","11.4","27.2","5.2","22.3"
37101041101,"Census Tract 411.01, Johnston County, North Carolina",2776,298,"49.5","91.6","12.0","57.0","7.6","31.5"
37101041102,"Census Tract 411.02, Johnston County, North Carolina",3517,238,"45.8","56.3","6.2","53.8","7.0","16.4"
37101041103,"Census Tract 411.03, Johnston County, North Carolina",4258,196,"47.2","84.2","4.1","29.6","4.1","0.0"
37101041201,"Census Tract 412.01, Johnston County, North Carolina",1568,266,"39.3","64.3","23.9","77.1","8.7","9.4"
37101041202,"Census Tract 412.02, Johnston County, North Carolina",1864,465,"34.9","56.1","31.8","67.3","18.2","17.6"
37101041300,"Census Tract 413, Johnston County, North Carolina",2065,479,"42.0","57.2","19.0","62.8","9.0","2.5"
37101041400,"Census Tract 414, Johnston County, North Carolina",2398,525,"34.7","60.8","21.9","63.6","9.4","22.5"
37101041501,"Census Tract 415.01, Johnston County, North Carolina",2393,170,"38.9","51.2","8.1","54.1","0.8","0.0"
37101041502,"Census Tract 415.02, Johnston County, North Carolina",2673,178,"45.2","30.3","6.7","21.3","9.1","7.9"
